ZIP,percentile,superzip,rank,city.x,state.x,adultpop,households,college,income.,area,avg,city.y,state.y,latitude,longitude,nbh
10001,78.93413,0,3120,Manhattan,NY,12961,2711,50.16%,58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.750742,-73.99653,West Midtown 
10002,13.30883,0,18943,Manhattan,NY,59323,18859,16.83%,35.786,Chinatown & Lower East Side,70.1926,New York,NY,40.71704,-73.987,Lower East Side 
10003,97.68859,1,385,Manhattan,NY,40319,7504,70.12%,121.43,Chinatown & Lower East Side,70.1926,New York,NY,40.732509,-73.98935,Greenwich Village 
10004,99.43828,1,93,Manhattan,NY,1020,221,75.98%,170.258,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NJ,40.699226,-74.04118,Financial District 
10005,99.36517,1,107,Manhattan,NY,703,119,74.68%,167.23,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.706019,-74.00858,Financial District 
10006,98.65981,1,228,Manhattan,NY,1174,230,70.95%,138.78,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.707904,-74.01342,Financial District 
10007,99.38902,1,100,Manhattan,NY,2814,563,56.89%,199.713,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.714754,-74.00721,Financial District 
10009,71.88912,0,4213,Manhattan,NY,43663,11823,44.55%,53.3618,Chinatown & Lower East Side,70.1926,New York,NY,40.727093,-73.97864,East Greenwich Village 
10010,98.17231,1,320,Manhattan,NY,21221,4819,71.23%,126,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.739022,-73.98205,Gramercy 
10011,98.13351,1,326,Manhattan,NY,39951,6704,68.57%,130.999,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.741012,-74.00012,Chelsea Greenwich Village 
10012,94.66093,0,840,Manhattan,NY,20476,4501,64.63%,95.9752,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.72596,-73.99834,Village NoHo 
10013,69.03775,0,4647,Manhattan,NY,18344,5447,40.66%,55.1401,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.720666,-74.00526,"Tribeca, Soho "
10014,99.0041,1,167,Manhattan,NY,28445,4763,74.39%,145.505,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.734718,-74.00532,West Greenwich Village 
10016,98.56199,1,243,Manhattan,NY,41544,7973,68.79%,140.174,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.74618,-73.97759,Murray Hill 
10017,99.12652,1,150,Manhattan,NY,14064,2742,73.99%,152.385,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.752159,-73.97231,East Midtown 
10018,82.75207,0,2549,Manhattan,NY,3534,626,51.33%,66.3136,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.755101,-73.99337,West Midtown 
10019,94.55955,0,854,Manhattan,NY,30339,5984,61.50%,100.511,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.765714,-73.9856,West Midtown 
10020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.758667,-73.98024,Midtown Center 
10021,99.78984,1,46,Manhattan,NY,86540,20928,75.28%,195.312,Upper East Side,165.20488,New York,NY,40.76842,-73.96045,Upper East Side 
10022,99.83436,1,42,Manhattan,NY,26893,6274,71.96%,203.584,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.759015,-73.96732,East Midtown 
10023,99.29218,1,120,Manhattan,NY,51494,11604,73.32%,162.015,Upper West Side & West Side,156.587,New York,NY,40.776099,-73.98285,Upper West Side 
10024,99.5659,1,77,Manhattan,NY,49837,12623,73.93%,180.668,Upper West Side & West Side,156.587,New York,NY,40.786387,-73.97709,Upper West Side 
10025,91.02995,0,1363,Manhattan,NY,71769,19247,58.40%,83.655,Upper West Side & West Side,156.587,New York,NY,40.798502,-73.96811,Upper West Side 
10026,16.26024,0,17737,Manhattan,NY,19105,6812,19.67%,34.2146,Central Harlem,32.703175,New York,NY,40.802853,-73.95471,Harlem 
10027,35.87317,0,11625,Manhattan,NY,34172,10798,28.93%,34.7324,"Hamilton Heights, Manhattanville & West Harlem",35.024,New York,NY,40.812665,-73.95499,Morningside Heights 
10028,99.86842,1,38,Manhattan,NY,36366,9188,77.74%,197.116,Upper East Side,165.20488,New York,NY,40.776777,-73.9541,Upper East Side 
10029,7.188779,0,21302,Manhattan,NY,45347,17413,14.39%,32.35,East Harlem,28.70635,New York,NY,40.791586,-73.94575,East Harlem 
10030,3.608121,0,22743,Manhattan,NY,15888,5853,12.44%,28.267,Central Harlem,32.703175,New York,NY,40.818151,-73.94351,Harlem 
10031,7.86562,0,21060,Manhattan,NY,37700,12996,13.19%,35.3156,"Hamilton Heights, Manhattanville & West Harlem",35.024,New York,NY,40.826201,-73.94879,Harlem 
10032,11.30932,0,19675,Manhattan,NY,39631,13451,15.12%,36.526,"Washington Heights, Inwood & Marble Hill",37.67195,New York,NY,40.840686,-73.94154,Washington Heights 
10033,27.69628,0,13998,Manhattan,NY,36538,12954,21.39%,41.0246,"Washington Heights, Inwood & Marble Hill",37.67195,New York,NY,40.848764,-73.93496,Washington Heights 
10034,23.28298,0,15381,Manhattan,NY,26273,9856,21.59%,37.02,"Washington Heights, Inwood & Marble Hill",37.67195,New York,NY,40.867653,-73.92,Inwood 
10035,1.037593,0,23597,Manhattan,NY,20025,6586,8.67%,25.0627,East Harlem,28.70635,New York,NY,40.802395,-73.93359,East Harlem 
10036,85.7291,0,2107,Manhattan,NY,15723,2480,52.79%,72.6371,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.759511,-73.99019,West Midtown 
10037,21.08418,0,16070,Manhattan,NY,12320,3836,18.51%,40.5852,Central Harlem,32.703175,New York,NY,40.813385,-73.93616,Harlem 
10038,58.65752,0,6446,Manhattan,NY,10406,3010,35.35%,48.0608,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.709677,-74.00365,"Financial District, Seaport "
10039,1.349182,0,23485,Manhattan,NY,13056,5297,8.36%,27.7459,Central Harlem,32.703175,New York,NY,40.826181,-73.9371,Harlem 
10040,19.30757,0,16699,Manhattan,NY,29590,10759,20.22%,36.1172,"Washington Heights, Inwood & Marble Hill",37.67195,New York,NY,40.858704,-73.92853,Washington Heights 
10044,83.96834,0,2369,Manhattan,NY,6640,1840,45.90%,79.0744,Upper East Side,165.20488,New York,NY,40.762174,-73.94917,Roosevelt Island 
10065,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper East Side,165.20488,New York,NY,40.76,-73.96,Midtown Upper East Side 
10069,99.93251,1,23,Manhattan,NY,1376,422,84.16%,200.01,Upper West Side & West Side,156.587,New York,NY,40.775477,-73.9905,Upper West Side 
10075,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper East Side,165.20488,New York,NY,40.77,-73.95,Midtown Upper East Side 
10103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.760915,-73.97785,Midtown 
10110,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.753987,-73.980811,Midtown 
10111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.759235,-73.97775,Midtown 
10112,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.759291,-73.97979,Midtown 
10115,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hamilton Heights, Manhattanville & West Harlem",35.024,New York,NY,40.810906,-73.96375,Morningside Heights 
10119,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.750824,-73.99289,Korea Town 
10128,99.10585,1,152,Manhattan,NY,46757,12049,73.83%,152.017,Upper East Side,165.20488,New York,NY,40.781894,-73.95039,Upper East Side 
10152,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.758611,-73.97223,Midtown 
10153,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.763742,-73.97268,Midtown 
10154,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.757986,-73.97267,Midtown 
10162,99.93327,1,22,Manhattan,NY,1415,480,82.76%,202.505,Upper East Side,165.20488,New York,NY,40.769334,-73.94893,Yorkville 
10165,89.09837,0,NA,Manhattan,NY,11,6,100%,3.26769,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.752354,-73.9789,Midtown 
10167,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.754862,-73.97495,Midtown 
10168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.751933,-73.976794,Midtown 
10169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.754463,-73.97606,Midtown 
10170,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.752859,-73.97608,Midtown 
10171,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.756099,-73.97401,Midtown 
10172,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.755494,-73.97447,Midtown 
10173,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.754302,-73.97955,Midtown 
10174,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.751656,-73.97516,Midtown 
10177,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.755345,-73.97609,Midtown 
10199,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.750308,-74.00058,Theater District 
10271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.708669,-74.01043,Financial District 
10278,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.715721,-74.00395,Tribeca 
10279,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.713062,-74.00857,Tribeca 
10280,99.63304,1,65,Manhattan,NY,5422,1613,78.27%,179.075,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.707467,-74.0178,Lower Manhattan 
10282,95.66295,1,691,Manhattan,NY,1039,317,58.42%,116.652,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.717179,-74.01433,Tribeca 
10301,68.9603,0,4663,Staten Island,NY,25512,8557,31.34%,71.0693,"Port Richmond, Stapleton & Mariners Harbor",68.58714,Staten Island,NY,40.631775,-74.09432,"Port Richmond, Stapleton & Mariners Harbor"
10302,45.31491,0,9288,Staten Island,NY,10246,3868,14.67%,67.8069,"Port Richmond, Stapleton & Mariners Harbor",68.58714,Staten Island,NY,40.631127,-74.13715,"Port Richmond, Stapleton & Mariners Harbor"
10303,41.62149,0,10132,Staten Island,NY,13414,5807,15.44%,63.2106,"Port Richmond, Stapleton & Mariners Harbor",68.58714,Staten Island,NY,40.629448,-74.16239,"Port Richmond, Stapleton & Mariners Harbor"
10304,55.89274,0,6976,Staten Island,NY,24638,9560,24.00%,64.0279,"Port Richmond, Stapleton & Mariners Harbor",68.58714,Staten Island,NY,40.60787,-74.08991,"Port Richmond, Stapleton & Mariners Harbor"
10305,55.72988,0,6996,Staten Island,NY,26388,9702,18.42%,73.5198,New Springville & South Beach,83.63886667,Staten Island,NY,40.599021,-74.07503,New Springville & South Beach
10306,68.04404,0,4808,Staten Island,NY,38846,14986,20.50%,88.1453,New Springville & South Beach,83.63886667,Staten Island,NY,40.569394,-74.11785,New Springville & South Beach
10307,73.4277,0,3983,Staten Island,NY,7544,3112,20.63%,97.3102,"Tottenville, Great Kills & Annadale",95.453125,Staten Island,NY,40.508274,-74.24387,"Tottenville, Great Kills & Annadale"
10308,70.73705,0,4382,Staten Island,NY,18333,7473,21.15%,91.7595,"Tottenville, Great Kills & Annadale",95.453125,Staten Island,NY,40.551353,-74.15098,"Tottenville, Great Kills & Annadale"
10309,73.80246,0,3932,Staten Island,NY,17713,7013,22.80%,94.121,"Tottenville, Great Kills & Annadale",95.453125,Staten Island,NY,40.529749,-74.21304,"Tottenville, Great Kills & Annadale"
10310,65.73212,0,5178,Staten Island,NY,14110,5713,24.68%,76.821,"Port Richmond, Stapleton & Mariners Harbor",68.58714,Staten Island,NY,40.63212,-74.11551,"Port Richmond, Stapleton & Mariners Harbor"
10311,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Springville & South Beach,83.63886667,Staten Island,NY,40.605245,-74.179485,New Springville & South Beach
10312,76.77791,0,3474,Staten Island,NY,38824,16183,23.79%,98.6218,"Tottenville, Great Kills & Annadale",95.453125,Staten Island,NY,40.543117,-74.17628,"Tottenville, Great Kills & Annadale"
10314,74.79237,0,3774,Staten Island,NY,58227,22693,26.83%,89.2515,New Springville & South Beach,83.63886667,Staten Island,NY,40.606337,-74.14513,New Springville & South Beach
10451,2.333696,0,23164,Bronx,NY,23274,9702,9.91%,29.2784,"Hunts Point, Longwood & Melrose",25.70424,Bronx,NY,40.819729,-73.9223,"Hunts Point, Longwood & Melrose"
10452,0.7293516,0,23666,Bronx,NY,38423,16976,6.46%,27.5053,"Concourse, Highbridge & Mount Eden",27.5053,Bronx,NY,40.838745,-73.92234,"Concourse, Highbridge & Mount Eden"
10453,1.302413,0,23506,Bronx,NY,40143,18113,7.83%,28.406,"Morris Heights, Fordham South & Mount Hope",27.6353,Bronx,NY,40.853017,-73.91214,"Morris Heights, Fordham South & Mount Hope"
10454,0.0760166,0,23907,Bronx,NY,18591,7725,4.21%,21.6303,"Hunts Point, Longwood & Melrose",25.70424,Bronx,NY,40.805968,-73.91628,"Hunts Point, Longwood & Melrose"
10455,0.783581,0,23656,Bronx,NY,20341,8679,6.19%,28.2389,"Hunts Point, Longwood & Melrose",25.70424,Bronx,NY,40.815559,-73.90771,"Hunts Point, Longwood & Melrose"
10456,0.4691314,0,23746,Bronx,NY,41232,18062,6.68%,25.1046,"Belmont, Crotona Park East & East Tremont",27.2118,Bronx,NY,40.829676,-73.90856,"Belmont, Crotona Park East & East Tremont"
10457,1.092873,0,23579,Bronx,NY,37442,16182,7.90%,26.8646,"Morris Heights, Fordham South & Mount Hope",27.6353,Bronx,NY,40.846745,-73.89861,"Morris Heights, Fordham South & Mount Hope"
10458,4.292924,0,22488,Bronx,NY,40609,17576,11.87%,30.9678,"Bedford Park, Fordham North & Norwood",35.49083333,Bronx,NY,40.864166,-73.88881,"Bedford Park, Fordham North & Norwood"
10459,0.7517098,0,23661,Bronx,NY,20976,9000,7.43%,25.9048,"Hunts Point, Longwood & Melrose",25.70424,Bronx,NY,40.825432,-73.89327,"Hunts Point, Longwood & Melrose"
10460,1.468095,0,23452,Bronx,NY,28729,12610,7.74%,29.319,"Belmont, Crotona Park East & East Tremont",27.2118,Bronx,NY,40.84095,-73.88036,"Belmont, Crotona Park East & East Tremont"
10461,56.59912,0,6835,Bronx,NY,36068,12189,22.80%,67.157,"Co-op City, Pelham Bay & Schuylerville",75.829,Bronx,NY,40.842917,-73.83819,"Co-op City, Pelham Bay & Schuylerville"
